date,symbol,category
2026-04-29 00:00:00,ITC,matched
2026-05-04 00:00:00,VEDL,matched
2026-05-06 00:00:00,ICICIBANK,matched
2026-05-06 00:00:00,IDEA,matched
2026-05-06 00:00:00,INDIGO,matched
2026-05-06 00:00:00,KOTAKBANK,matched
2026-05-06 00:00:00,M&M,matched
2026-05-07 00:00:00,M&M,honest_only
2026-05-13 00:00:00,TATASTEEL,matched
2026-05-13 00:00:00,VEDL,matched
2026-05-14 00:00:00,BHARTIARTL,matched
2026-05-14 00:00:00,BSE,matched
2026-05-14 00:00:00,HDFCBANK,honest_only
2026-05-14 00:00:00,IDEA,matched
2026-05-14 00:00:00,VEDL,honest_only
2026-05-15 00:00:00,INFY,matched
2026-05-19 00:00:00,INFY,matched
2026-05-19 00:00:00,TCS,matched
2026-05-25 00:00:00,INDIGO,matched
2026-05-25 00:00:00,IRFC,matched
2026-05-27 00:00:00,TATASTEEL,matched
2026-05-27 00:00:00,TMPV,matched
